М;А;Построй слог [МА]!
К;О;Построй слог [КО]!
Т;У;Построй слог [ТУ]!
С;И;Построй слог [СИ]!
Л;Э;Построй слог [ЛЭ]!
Р;А;Построй слог [РА]!
Б;О;Построй слог [БО]!
Д;У;Построй слог [ДУ]!
Г;И;Построй слог [ГИ]!
П;Э;Построй слог [ПЭ]!
Н;А;Построй слог [НА]!
Ф;О;Построй слог [ФО]!
Х;О;Построй слог [ХО]!
В;И;Построй слог [ВИ]!
З;Э;Построй слог [ЗЭ]!
Ж;А;Построй слог [ЖА]!
Ч;О;Построй слог [ЧО]!
Ш;У;Построй слог [ШУ]!
Ц;И;Построй слог [ЦИ]!
Й;Э;Построй слог [ЙЭ]!
М;Я;Построй слог [МЯ]!
Т;Ю;Построй слог [ТЮ]!
Н;Е;Построй слог [НЕ]!
С;Я;Построй слог [СЯ]!
Л;Ю;Построй слог [ЛЮ]!
Р;Е;Построй слог [РЕ]!
Б;Я;Построй слог [БЯ]!
Д;Ю;Построй слог [ДЮ]!
Г;Е;Построй слог [ГЕ]!
П;Я;Построй слог [ПЯ]!
Ф;И;Построй слог [ФИ]!
Х;А;Построй слог [ХА]!
В;У;Построй слог [ВУ]!
З;О;Построй слог [ЗО]!
Ж;У;Построй слог [ЖУ]!
Ч;И;Построй слог [ЧИ]!
Ш;А;Построй слог [ША]!
Ц;У;Построй слог [ЦУ]!
Й;О;Построй слог [ЙО]!
К;Е;Построй слог [КЕ]!
Т;А;Построй слог [ТА]!
М;О;Построй слог [МО]!
Р;У;Построй слог [РУ]!
Л;И;Построй слог [ЛИ]!
С;Э;Построй слог [СЭ]!
Д;А;Построй слог [ДА]!
Г;О;Построй слог [ГО]!
П;У;Построй слог [ПУ]!
Х;И;Построй слог [ХИ]!
Б;Э;Построй слог [БЭ]!